tile_id,survey_no,block,original_herb_trt,angle,new_compass,shore_level,treatment,trt_y1,trt_y2,notes
49,1,A,"lsi, ld",16,55,2.382,CC,C,C,NA
50,1,A,NA,23,52,2.382,CC,C,C,NA
47,1,A,lsc,32,55,2.382,CC,C,C,NA
51,1,A,"lsc, lpd",32,55,2.382,W,W,,NA
52,1,A,lpd,34,51,2.382,CW,C,W,NA
53,1,A,ld,23,42,2.382,CC,C,C,NA
54,1,A,"lsi, lpd",23,70,2.382,CC,C,C,NA
55,1,A,"lsc, lsi, ld, lpd",18,67,2.382,WW,W,W,NA
56,1,A,"lsi, ld",17,73,2.382,WW,W,W,NA
57,1,A,NA,18,74,2.382,WC,W,C,NA
58,1,A,lsi,20,77,2.382,CC,C,C,NA
59,1,A,"lsc, lsi, ld, lpd",17,77,2.382,CW,C,W,NA
60,1,A,ld,23,77,2.382,WC,W,C,NA
61,1,A,"lsc, ld",19,76,2.382,CW,C,W,NA
62,1,A,lsc,19,50,2.382,WC,W,C,NA
63,1,A,"lsc, ld",28,35,2.382,WC,W,C,NA
64,1,A,lsi,36,50,2.382,WW,W,W,NA
44,1,A,"lsi, lpd",29,65,2.382,WW,W,W,NA
46,1,A,"lsc, lpd",15,67,2.382,CW,C,W,NA
97,1,A,lpd,10,NA,2.382,W,W,,NA
1,1,B,"lsc, lpd",13,98,2.404,WC,W,C,NA
2,1,B,"lsc, ld",14,102,2.404,CC,C,C,NA
3,1,B,"lsi, ld",14,108,2.404,WW,W,W,NA
4,1,B,lsc,28,95,2.404,WW,W,W,NA
5,1,B,ld,24,85,2.404,WC,W,C,NA
6,1,B,"lsi, ld",23,89,2.404,WC,W,C,NA
7,1,B,lpd,23,89,2.404,CC,C,C,NA
8,1,B,"lsc, lsi, ld, lpd",28,89,2.404,CW,C,W,NA
9,1,B,lsc,21,85,2.404,CC,C,C,NA
10,1,B,lsi,24,80,2.404,WC,W,C,NA
11,1,B,ld,23,80,2.404,CW,C,W,NA
12,1,B,lsi,26,82,2.404,CW,C,W,NA
43,1,B,NA,16,70,2.404,WW,W,W,NA
42,1,B,"lsc, lsi, ld, lpd",14,66,2.404,WW,W,W,NA
98,1,B,"lsc, lpd",15,NA,2.404,C,C,,NA
99,1,B,NA,11,NA,2.404,C,C,,NA
13,1,B,"lsc, ld",34,106,2.404,CW,C,W,NA
14,1,B,"lsi, lpd",29,95,2.404,WW,W,W,NA
15,1,B,lpd,32,103,2.404,WW,W,W,NA
16,1,B,"lsi, lpd",33,90,2.404,CC,C,C,NA
65,1,C,"lsi, ld",14,107,2.105,W,W,,NA
66,1,C,lpd,12,88,2.105,C,C,,NA
67,1,C,ld,16,114,2.105,W,W,,NA
38,1,C,"lsc, lpd",18,44,2.105,WW,W,W,NA
48,1,C,NA,20,60,2.105,CW,C,W,NA
41,1,C,"lsi, ld",15,65,2.105,CC,C,C,NA
36,1,C,"lsc, ld",19,55,2.105,WC,W,C,NA
68,1,C,NA,16,125,2.105,WC,W,C,NA
69,1,C,"lsc, ld",20,115,2.105,C,C,,NA
70,1,C,lpd,20,103,2.105,WW,W,W,NA
71,1,C,lsc,16,98,2.105,WC,W,C,NA
72,1,C,"lsc, lsi, ld, lpd",11,88,2.105,CC,C,C,NA
73,1,C,ld,10,110,2.105,CC,C,C,NA
74,1,C,"lsc, lpd",9,113,2.105,CC,C,C,NA
75,1,C,"lsi, lpd",11,115,2.105,WC,W,C,NA
76,1,C,lsi,13,100,2.105,CW,C,W,NA
77,1,C,"lsi, lpd",14,95,2.105,CW,C,W,NA
78,1,C,lsc,18,85,2.105,CW,C,W,NA
79,1,C,"lsc, lsi, ld, lpd",15,85,2.105,WW,W,W,NA
80,1,C,lsi,15,97,2.105,WW,W,W,NA
81,1,D,lsi,15,112,2.256,WW,W,W,NA
82,1,D,"lsc, ld",16,115,2.256,WW,W,W,NA
83,1,D,ld,19,125,2.256,CW,C,W,NA
84,1,D,"lsc, lsi, ld, lpd",11,122,2.256,CC,C,C,NA
85,1,D,ld,19,118,2.256,WC,W,C,NA
40,1,D,lpd,20,67,2.256,WC,W,C,NA
86,1,D,"lsc, lpd",20,115,2.256,WC,W,C,NA
39,1,D,lsc,29,75,2.256,WC,W,C,NA
87,1,D,NA,22,110,2.256,CW,C,W,NA
88,1,D,"lsi, ld",22,115,2.256,WW,W,W,NA
89,1,D,"lsc, lpd",24,105,2.256,C,C,,NA
90,1,D,NA,26,122,2.256,WC,W,C,NA
91,1,D,"lsi, lpd",25,117,2.256,CC,C,C,NA
92,1,D,"lsc, ld",25,115,2.256,CC,C,C,NA
93,1,D,"lsc, lsi, ld, lpd",30,125,2.256,WW,W,W,NA
94,1,D,lsi,23,125,2.256,CW,C,W,NA
95,1,D,lpd,29,125,2.256,CW,C,W,NA
96,1,D,"lsi, lpd",24,115,2.256,WW,W,W,NA
45,1,D,lsc,28,55,2.256,CC,C,C,NA
100,1,D,"lsi, ld",28,NA,2.256,C,C,,NA
23,1,E,"lsc, lpd",11,75,2.18,WW,W,W,NA
24,1,E,lpd,1,73,2.18,WC,W,C,NA
27,1,E,"lsc, ld",8,67,2.18,C,C,,NA
37,1,E,lpd,6,51,2.18,CW,C,W,NA
34,1,E,"lsi, lpd",9,68,2.18,C,C,,NA
30,1,E,"lsc, lsi, ld, lpd",12,58,2.18,WW,W,W,NA
32,1,E,lsi,16,60,2.18,CW,C,W,NA
33,1,E,NA,12,65,2.18,WW,W,W,NA
35,1,E,"lsi, ld",11,60,2.18,CC,C,C,NA
18,1,E,lsc,12,79,2.18,WW,W,W,NA
25,1,E,ld,9,74,2.18,CW,C,W,NA
26,1,E,"lsi, lpd",12,75,2.18,W,W,,NA
21,1,E,NA,17,78,2.18,CC,C,C,NA
17,1,E,ld,16,75,2.18,WC,W,C,NA
29,1,E,lsc,16,60,2.18,CC,C,C,NA
28,1,E,"lsi, ld",14,61,2.18,WW,W,W,NA
31,1,E,"lsc, lpd",8,56,2.18,WW,W,W,NA
19,1,E,"lsc, lsi, ld, lpd",7,85,2.18,CW,C,W,NA
20,1,E,lsi,7,81,2.18,CC,C,C,NA
22,1,E,"lsc, ld",5,58,2.18,WC,W,C,NA
65,2,C,"lsi, ld",14,107,2.105,W,W,,NA
66,2,C,lpd,12,88,2.105,C,C,,NA
67,2,C,ld,16,114,2.105,W,W,,NA
38,2,C,"lsc, lpd",18,44,2.105,WW,W,W,NA
48,2,C,NA,20,60,2.105,CW,C,W,NA
41,2,C,"lsi, ld",15,65,2.105,CC,C,C,NA
36,2,C,"lsc, ld",19,55,2.105,WC,W,C,NA
68,2,C,NA,16,125,2.105,WC,W,C,NA
69,2,C,"lsc, ld",20,115,2.105,C,C,,NA
70,2,C,lpd,20,103,2.105,WW,W,W,NA
71,2,C,lsc,16,98,2.105,WC,W,C,NA
72,2,C,"lsc, lsi, ld, lpd",11,88,2.105,CC,C,C,NA
73,2,C,ld,10,110,2.105,CC,C,C,NA
74,2,C,"lsc, lpd",9,113,2.105,CC,C,C,NA
75,2,C,"lsi, lpd",11,115,2.105,WC,W,C,NA
76,2,C,lsi,13,100,2.105,CW,C,W,NA
77,2,C,"lsi, lpd",14,95,2.105,CW,C,W,NA
78,2,C,lsc,18,85,2.105,CW,C,W,NA
79,2,C,"lsc, lsi, ld, lpd",15,85,2.105,WW,W,W,NA
80,2,C,lsi,15,97,2.105,WW,W,W,NA
81,2,D,lsi,15,112,2.256,WW,W,W,NA
82,2,D,"lsc, ld",16,115,2.256,WW,W,W,NA
83,2,D,ld,19,125,2.256,CW,C,W,NA
84,2,D,"lsc, lsi, ld, lpd",11,122,2.256,CC,C,C,NA
85,2,D,ld,19,118,2.256,WC,W,C,NA
40,2,D,lpd,20,67,2.256,WC,W,C,NA
86,2,D,"lsc, lpd",20,115,2.256,WC,W,C,NA
39,2,D,lsc,29,75,2.256,WC,W,C,NA
87,2,D,NA,22,110,2.256,CW,C,W,NA
88,2,D,"lsi, ld",22,115,2.256,WW,W,W,NA
89,2,D,"lsc, lpd",24,105,2.256,C,C,,NA
90,2,D,NA,26,122,2.256,WC,W,C,NA
91,2,D,"lsi, lpd",25,117,2.256,CC,C,C,NA
92,2,D,"lsc, ld",25,115,2.256,CC,C,C,NA
93,2,D,"lsc, lsi, ld, lpd",30,125,2.256,WW,W,W,NA
94,2,D,lsi,23,125,2.256,CW,C,W,NA
95,2,D,lpd,29,125,2.256,CW,C,W,NA
96,2,D,"lsi, lpd",24,115,2.256,WW,W,W,NA
45,2,D,lsc,28,55,2.256,CC,C,C,NA
23,2,E,"lsc, lpd",11,75,2.18,WW,W,W,NA
24,2,E,lpd,1,73,2.18,WC,W,C,NA
27,2,E,"lsc, ld",8,67,2.18,C,C,,NA
37,2,E,lpd,6,51,2.18,CW,C,W,NA
34,2,E,"lsi, lpd",9,68,2.18,C,C,,NA
30,2,E,"lsc, lsi, ld, lpd",12,58,2.18,WW,W,W,NA
32,2,E,lsi,16,60,2.18,CW,C,W,NA
33,2,E,NA,12,65,2.18,WW,W,W,NA
35,2,E,"lsi, ld",11,60,2.18,CC,C,C,NA
18,2,E,lsc,12,79,2.18,WW,W,W,NA
25,2,E,ld,9,74,2.18,CW,C,W,NA
26,2,E,"lsi, lpd",12,75,2.18,W,W,,NA
21,2,E,NA,17,78,2.18,CC,C,C,NA
17,2,E,ld,16,75,2.18,WC,W,C,NA
29,2,E,lsc,16,60,2.18,CC,C,C,NA
28,2,E,"lsi, ld",14,61,2.18,WW,W,W,NA
31,2,E,"lsc, lpd",8,56,2.18,WW,W,W,NA
19,2,E,"lsc, lsi, ld, lpd",7,85,2.18,CW,C,W,NA
20,2,E,lsi,7,81,2.18,CC,C,C,NA
22,2,E,"lsc, ld",5,58,2.18,WC,W,C,NA
49,2,A,"lsi, ld",16,55,2.382,CC,C,C,NA
50,2,A,NA,23,52,2.382,CC,C,C,NA
51,2,A,"lsc, lpd",32,55,2.382,W,W,,NA
52,2,A,lpd,34,51,2.382,CW,C,W,NA
53,2,A,ld,23,42,2.382,CC,C,C,NA
54,2,A,"lsi, lpd",23,70,2.382,CC,C,C,NA
55,2,A,"lsc, lsi, ld, lpd",18,67,2.382,WW,W,W,NA
56,2,A,"lsi, ld",17,73,2.382,WW,W,W,NA
57,2,A,NA,18,74,2.382,WC,W,C,NA
58,2,A,lsi,20,77,2.382,CC,C,C,NA
59,2,A,"lsc, lsi, ld, lpd",17,77,2.382,CW,C,W,NA
60,2,A,ld,23,77,2.382,WC,W,C,NA
61,2,A,"lsc, ld",19,76,2.382,CW,C,W,NA
62,2,A,lsc,19,50,2.382,WC,W,C,NA
63,2,A,"lsc, ld",28,35,2.382,WC,W,C,NA
64,2,A,lsi,36,50,2.382,WW,W,W,NA
44,2,A,"lsi, lpd",29,65,2.382,WW,W,W,NA
46,2,A,"lsc, lpd",15,67,2.382,CW,C,W,NA
97,2,A,lpd,10,NA,2.382,W,W,,NA
1,2,B,"lsc, lpd",13,98,2.404,WC,W,C,NA
2,2,B,"lsc, ld",14,102,2.404,CC,C,C,NA
3,2,B,"lsi, ld",14,108,2.404,WW,W,W,NA
4,2,B,lsc,28,95,2.404,WW,W,W,NA
5,2,B,ld,24,85,2.404,WC,W,C,NA
6,2,B,"lsi, ld",23,89,2.404,WC,W,C,NA
7,2,B,lpd,23,89,2.404,CC,C,C,NA
8,2,B,"lsc, lsi, ld, lpd",28,89,2.404,CW,C,W,NA
9,2,B,lsc,21,85,2.404,CC,C,C,NA
10,2,B,lsi,24,80,2.404,WC,W,C,NA
11,2,B,ld,23,80,2.404,CW,C,W,NA
12,2,B,lsi,26,82,2.404,CW,C,W,NA
43,2,B,NA,16,70,2.404,WW,W,W,NA
42,2,B,"lsc, lsi, ld, lpd",14,66,2.404,WW,W,W,NA
13,2,B,"lsc, ld",34,106,2.404,CW,C,W,NA
14,2,B,"lsi, lpd",29,95,2.404,WW,W,W,NA
15,2,B,lpd,32,103,2.404,WW,W,W,NA
16,2,B,"lsi, lpd",33,90,2.404,CC,C,C,NA
1,3,A,"lsc, lpd",11,98,2.155,WC,W,C,NA
2,3,A,"lsc, ld",12,102,2.155,CC,C,C,NA
3,3,A,"lsi, ld",14,108,2.155,WW,W,W,NA
4,3,A,lsc,23,95,2.155,WW,W,W,NA
5,3,A,ld,25,85,2.155,WC,W,C,NA
6,3,A,"lsi, ld",24,89,2.155,WC,W,C,NA
7,3,A,lpd,23,89,2.155,CC,C,C,NA
8,3,A,"lsc, lsi, ld, lpd",28,89,2.155,CW,C,W,NA
9,3,A,lsc,22,85,2.155,CC,C,C,NA
10,3,A,lsi,22,80,2.155,WC,W,C,NA
11,3,A,ld,23,80,2.155,CW,C,W,NA
12,3,A,lsi,24,82,2.155,CW,C,W,NA
13,3,A,"lsc, ld",24,106,2.155,CW,C,W,NA
14,3,A,"lsi, lpd",26,95,2.155,WW,W,W,NA
15,3,A,lpd,32,103,2.155,WW,W,W,NA
16,3,A,"lsi, lpd",34,90,2.155,CC,C,C,NA
17,3,B,ld,17,75,2.543,WC,W,C,NA
18,3,B,lsc,18,79,2.543,WW,W,W,NA
19,3,B,"lsc, lsi, ld, lpd",17,85,2.543,CW,C,W,NA
20,3,B,lsi,21,81,2.543,CC,C,C,NA
21,3,B,NA,25,78,2.543,CC,C,C,NA
22,3,B,"lsc, ld",19,58,2.543,WC,W,C,NA
23,3,B,"lsc, lpd",10,75,2.543,WW,W,W,NA
24,3,B,lpd,16,73,2.543,WC,W,C,NA
25,3,B,ld,18,74,2.543,CW,C,W,NA
26,3,B,"lsi, lpd",17,75,2.543,W,W,,NA
27,3,B,"lsc, ld",14,67,2.543,C,C,,NA
28,3,B,"lsi, ld",14,61,2.543,WW,W,W,NA
29,3,B,lsc,12,60,2.543,CC,C,C,NA
30,3,B,"lsc, lsi, ld, lpd",7,58,2.543,WW,W,W,NA
31,3,B,"lsc, lpd",13,56,2.543,WW,W,W,NA
32,3,B,lsi,13,60,2.543,CW,C,W,NA
33,3,C,NA,17,65,2.551,WW,W,W,NA
34,3,C,"lsi, lpd",13,68,2.551,C,C,,NA
35,3,C,"lsi, ld",13,60,2.551,CC,C,C,NA
36,3,C,"lsc, ld",11,55,2.551,WC,W,C,NA
37,3,C,lpd,11,51,2.551,CW,C,W,NA
38,3,C,"lsc, lpd",15,44,2.551,WW,W,W,NA
39,3,C,lsc,13,75,2.551,WC,W,C,NA
40,3,C,lpd,19,67,2.551,WC,W,C,NA
41,3,C,"lsi, ld",18,65,2.551,CC,C,C,NA
42,3,C,"lsc, lsi, ld, lpd",16,66,2.551,WW,W,W,NA
43,3,C,NA,14,70,2.551,WW,W,W,NA
44,3,C,"lsi, lpd",9,65,2.551,WW,W,W,NA
45,3,C,lsc,17,55,2.551,CC,C,C,NA
46,3,C,"lsc, lpd",15,67,2.551,CW,C,W,NA
47,3,C,lsc,17,55,2.551,CC,C,C,NA
48,3,C,NA,13,60,2.551,CW,C,W,NA
49,3,D,"lsi, ld",20,55,2.383,CC,C,C,NA
50,3,D,NA,13,52,2.383,CC,C,C,NA
51,3,D,"lsc, lpd",25,55,2.383,W,W,,NA
52,3,D,lpd,18,51,2.383,CW,C,W,NA
53,3,D,ld,25,42,2.383,CC,C,C,NA
54,3,D,"lsi, lpd",22,70,2.383,CC,C,C,NA
55,3,D,"lsc, lsi, ld, lpd",19,67,2.383,WW,W,W,NA
56,3,D,"lsi, ld",11,73,2.383,WW,W,W,NA
57,3,D,NA,19,74,2.383,WC,W,C,NA
58,3,D,lsi,15,77,2.383,CC,C,C,NA
59,3,D,"lsc, lsi, ld, lpd",19,77,2.383,CW,C,W,NA
60,3,D,ld,10,77,2.383,WC,W,C,NA
61,3,D,"lsc, ld",17,76,2.383,CW,C,W,NA
62,3,D,lsc,23,50,2.383,WC,W,C,NA
63,3,D,"lsc, ld",17,35,2.383,WC,W,C,NA
64,3,D,lsi,13,50,2.383,WW,W,W,NA
65,3,E,"lsi, ld",13,107,2.242,W,W,,NA
66,3,E,lpd,17,88,2.242,C,C,,NA
67,3,E,ld,19,114,2.242,W,W,,NA
68,3,E,NA,16,125,2.242,WC,W,C,NA
69,3,E,"lsc, ld",18,115,2.242,C,C,,NA
70,3,E,lpd,18,103,2.242,WW,W,W,NA
71,3,E,lsc,20,98,2.242,WC,W,C,NA
72,3,E,"lsc, lsi, ld, lpd",21,88,2.242,CC,C,C,NA
73,3,E,ld,14,110,2.242,CC,C,C,NA
74,3,E,"lsc, lpd",16,113,2.242,CC,C,C,NA
75,3,E,"lsi, lpd",14,115,2.242,WC,W,C,NA
76,3,E,lsi,13,100,2.242,CW,C,W,NA
77,3,E,"lsi, lpd",13,95,2.242,CW,C,W,NA
78,3,E,lsc,18,85,2.242,CW,C,W,NA
79,3,E,"lsc, lsi, ld, lpd",20,85,2.242,WW,W,W,NA
80,3,E,lsi,22,97,2.242,WW,W,W,NA
81,3,F,lsi,15,112,2.148,WW,W,W,NA
82,3,F,"lsc, ld",15,115,2.148,WW,W,W,NA
83,3,F,ld,18,125,2.148,CW,C,W,NA
84,3,F,"lsc, lsi, ld, lpd",16,122,2.148,CC,C,C,NA
85,3,F,ld,19,118,2.148,WC,W,C,NA
86,3,F,"lsc, lpd",18,115,2.148,WC,W,C,NA
87,3,F,NA,23,110,2.148,CW,C,W,NA
88,3,F,"lsi, ld",22,115,2.148,WW,W,W,NA
89,3,F,"lsc, lpd",24,105,2.148,C,C,,NA
90,3,F,NA,27,122,2.148,WC,W,C,NA
91,3,F,"lsi, lpd",25,117,2.148,CC,C,C,NA
92,3,F,"lsc, ld",27,115,2.148,CC,C,C,NA
93,3,F,"lsc, lsi, ld, lpd",30,125,2.148,WW,W,W,NA
94,3,F,lsi,22,125,2.148,CW,C,W,NA
95,3,F,lpd,28,125,2.148,CW,C,W,NA
96,3,F,"lsi, lpd",26,115,2.148,WW,W,W,NA
1,4,A,"lsc, lpd",11,98,2.155,WC,W,C,NA
2,4,A,"lsc, ld",12,102,2.155,CC,C,C,NA
3,4,A,"lsi, ld",14,108,2.155,WW,W,W,NA
4,4,A,lsc,23,95,2.155,WW,W,W,NA
5,4,A,ld,25,85,2.155,WC,W,C,NA
6,4,A,"lsi, ld",24,89,2.155,WC,W,C,NA
7,4,A,lpd,23,89,2.155,CC,C,C,NA
8,4,A,"lsc, lsi, ld, lpd",28,89,2.155,CW,C,W,NA
9,4,A,lsc,22,85,2.155,CC,C,C,NA
10,4,A,lsi,22,80,2.155,WC,W,C,NA
11,4,A,ld,23,80,2.155,CW,C,W,NA
12,4,A,lsi,24,82,2.155,CW,C,W,NA
13,4,A,"lsc, ld",24,106,2.155,CW,C,W,NA
14,4,A,"lsi, lpd",26,95,2.155,WW,W,W,NA
15,4,A,lpd,32,103,2.155,WW,W,W,NA
16,4,A,"lsi, lpd",34,90,2.155,CC,C,C,NA
17,4,B,ld,17,75,2.543,WC,W,C,NA
18,4,B,lsc,18,79,2.543,WW,W,W,NA
19,4,B,"lsc, lsi, ld, lpd",17,85,2.543,CW,C,W,NA
20,4,B,lsi,21,81,2.543,CC,C,C,NA
21,4,B,NA,25,78,2.543,CC,C,C,NA
22,4,B,"lsc, ld",19,58,2.543,WC,W,C,NA
23,4,B,"lsc, lpd",10,75,2.543,WW,W,W,NA
24,4,B,lpd,16,73,2.543,WC,W,C,NA
25,4,B,ld,18,74,2.543,CW,C,W,NA
26,4,B,"lsi, lpd",17,75,2.543,W,W,,NA
27,4,B,"lsc, ld",14,67,2.543,C,C,,NA
28,4,B,"lsi, ld",14,61,2.543,WW,W,W,NA
29,4,B,lsc,12,60,2.543,CC,C,C,NA
30,4,B,"lsc, lsi, ld, lpd",7,58,2.543,WW,W,W,NA
31,4,B,"lsc, lpd",13,56,2.543,WW,W,W,NA
32,4,B,lsi,13,60,2.543,CW,C,W,NA
33,4,C,NA,17,65,2.551,WW,W,W,NA
34,4,C,"lsi, lpd",13,68,2.551,C,C,,NA
35,4,C,"lsi, ld",13,60,2.551,CC,C,C,NA
36,4,C,"lsc, ld",11,55,2.551,WC,W,C,NA
37,4,C,lpd,11,51,2.551,CW,C,W,NA
38,4,C,"lsc, lpd",15,44,2.551,WW,W,W,NA
39,4,C,lsc,13,75,2.551,WC,W,C,NA
40,4,C,lpd,19,67,2.551,WC,W,C,NA
41,4,C,"lsi, ld",18,65,2.551,CC,C,C,NA
42,4,C,"lsc, lsi, ld, lpd",16,66,2.551,WW,W,W,NA
43,4,C,NA,14,70,2.551,WW,W,W,NA
44,4,C,"lsi, lpd",9,65,2.551,WW,W,W,NA
45,4,C,lsc,17,55,2.551,CC,C,C,NA
46,4,C,"lsc, lpd",15,67,2.551,CW,C,W,NA
47,4,C,lsc,17,55,2.551,CC,C,C,NA
48,4,C,NA,13,60,2.551,CW,C,W,NA
49,4,D,"lsi, ld",20,55,2.383,CC,C,C,NA
50,4,D,NA,13,52,2.383,CC,C,C,NA
51,4,D,"lsc, lpd",25,55,2.383,W,W,,NA
52,4,D,lpd,18,51,2.383,CW,C,W,NA
53,4,D,ld,25,42,2.383,CC,C,C,NA
54,4,D,"lsi, lpd",22,70,2.383,CC,C,C,NA
55,4,D,"lsc, lsi, ld, lpd",19,67,2.383,WW,W,W,NA
56,4,D,"lsi, ld",11,73,2.383,WW,W,W,NA
57,4,D,NA,19,74,2.383,WC,W,C,NA
58,4,D,lsi,15,77,2.383,CC,C,C,NA
