tile_id,survey_no,block,original_herb_trt,angle,new_compass,shore_level,treatment,trt_y1,trt_y2,notes
59,4,D,"lsc, lsi, ld, lpd",19,77,2.383,CW,C,W,NA
60,4,D,ld,10,77,2.383,WC,W,C,NA
61,4,D,"lsc, ld",17,76,2.383,CW,C,W,NA
62,4,D,lsc,23,50,2.383,WC,W,C,NA
63,4,D,"lsc, ld",17,35,2.383,WC,W,C,NA
64,4,D,lsi,13,50,2.383,WW,W,W,NA
65,4,E,"lsi, ld",13,107,2.242,W,W,,NA
66,4,E,lpd,17,88,2.242,C,C,,NA
67,4,E,ld,19,114,2.242,W,W,,NA
68,4,E,NA,16,125,2.242,WC,W,C,NA
69,4,E,"lsc, ld",18,115,2.242,C,C,,NA
70,4,E,lpd,18,103,2.242,WW,W,W,NA
71,4,E,lsc,20,98,2.242,WC,W,C,NA
72,4,E,"lsc, lsi, ld, lpd",21,88,2.242,CC,C,C,NA
73,4,E,ld,14,110,2.242,CC,C,C,NA
74,4,E,"lsc, lpd",16,113,2.242,CC,C,C,NA
75,4,E,"lsi, lpd",14,115,2.242,WC,W,C,NA
76,4,E,lsi,13,100,2.242,CW,C,W,NA
77,4,E,"lsi, lpd",13,95,2.242,CW,C,W,NA
78,4,E,lsc,18,85,2.242,CW,C,W,NA
79,4,E,"lsc, lsi, ld, lpd",20,85,2.242,WW,W,W,NA
80,4,E,lsi,22,97,2.242,WW,W,W,NA
81,4,F,lsi,15,112,2.148,WW,W,W,NA
82,4,F,"lsc, ld",15,115,2.148,WW,W,W,NA
83,4,F,ld,18,125,2.148,CW,C,W,NA
84,4,F,"lsc, lsi, ld, lpd",16,122,2.148,CC,C,C,NA
85,4,F,ld,19,118,2.148,WC,W,C,NA
86,4,F,"lsc, lpd",18,115,2.148,WC,W,C,NA
87,4,F,NA,23,110,2.148,CW,C,W,NA
88,4,F,"lsi, ld",22,115,2.148,WW,W,W,NA
89,4,F,"lsc, lpd",24,105,2.148,C,C,,NA
90,4,F,NA,27,122,2.148,WC,W,C,NA
91,4,F,"lsi, lpd",25,117,2.148,CC,C,C,NA
92,4,F,"lsc, ld",27,115,2.148,CC,C,C,NA
93,4,F,"lsc, lsi, ld, lpd",30,125,2.148,WW,W,W,NA
94,4,F,lsi,22,125,2.148,CW,C,W,NA
95,4,F,lpd,28,125,2.148,CW,C,W,NA
96,4,F,"lsi, lpd",26,115,2.148,WW,W,W,NA
1,5,A,"lsc, lpd",11,98,2.155,WC,W,C,NA
2,5,A,"lsc, ld",12,102,2.155,CC,C,C,NA
3,5,A,"lsi, ld",14,108,2.155,WW,W,W,NA
4,5,A,lsc,23,95,2.155,WW,W,W,NA
5,5,A,ld,25,85,2.155,WC,W,C,NA
6,5,A,"lsi, ld",24,89,2.155,WC,W,C,NA
7,5,A,lpd,23,89,2.155,CC,C,C,NA
8,5,A,"lsc, lsi, ld, lpd",28,89,2.155,CW,C,W,NA
9,5,A,lsc,22,85,2.155,CC,C,C,NA
10,5,A,lsi,22,80,2.155,WC,W,C,NA
11,5,A,ld,23,80,2.155,CW,C,W,NA
12,5,A,lsi,24,82,2.155,CW,C,W,NA
13,5,A,"lsc, ld",24,106,2.155,CW,C,W,NA
14,5,A,"lsi, lpd",26,95,2.155,WW,W,W,NA
15,5,A,lpd,32,103,2.155,WW,W,W,NA
16,5,A,"lsi, lpd",34,90,2.155,CC,C,C,NA
17,5,B,ld,17,75,2.543,WC,W,C,NA
18,5,B,lsc,18,79,2.543,WW,W,W,NA
19,5,B,"lsc, lsi, ld, lpd",17,85,2.543,CW,C,W,NA
20,5,B,lsi,21,81,2.543,CC,C,C,NA
21,5,B,NA,25,78,2.543,CC,C,C,NA
22,5,B,"lsc, ld",19,58,2.543,WC,W,C,NA
23,5,B,"lsc, lpd",10,75,2.543,WW,W,W,NA
24,5,B,lpd,16,73,2.543,WC,W,C,NA
25,5,B,ld,18,74,2.543,CW,C,W,NA
26,5,B,"lsi, lpd",17,75,2.543,W,W,,NA
27,5,B,"lsc, ld",14,67,2.543,C,C,,NA
28,5,B,"lsi, ld",14,61,2.543,WW,W,W,NA
29,5,B,lsc,12,60,2.543,CC,C,C,NA
30,5,B,"lsc, lsi, ld, lpd",7,58,2.543,WW,W,W,NA
31,5,B,"lsc, lpd",13,56,2.543,WW,W,W,NA
32,5,B,lsi,13,60,2.543,CW,C,W,NA
33,5,C,NA,17,65,2.551,WW,W,W,NA
34,5,C,"lsi, lpd",13,68,2.551,C,C,,NA
35,5,C,"lsi, ld",13,60,2.551,CC,C,C,NA
36,5,C,"lsc, ld",11,55,2.551,WC,W,C,NA
37,5,C,lpd,11,51,2.551,CW,C,W,NA
38,5,C,"lsc, lpd",15,44,2.551,WW,W,W,NA
39,5,C,lsc,13,75,2.551,WC,W,C,NA
40,5,C,lpd,19,67,2.551,WC,W,C,NA
41,5,C,"lsi, ld",18,65,2.551,CC,C,C,NA
42,5,C,"lsc, lsi, ld, lpd",16,66,2.551,WW,W,W,NA
43,5,C,NA,14,70,2.551,WW,W,W,NA
44,5,C,"lsi, lpd",9,65,2.551,WW,W,W,NA
45,5,C,lsc,17,55,2.551,CC,C,C,NA
46,5,C,"lsc, lpd",15,67,2.551,CW,C,W,NA
47,5,C,lsc,17,55,2.551,CC,C,C,NA
48,5,C,NA,13,60,2.551,CW,C,W,NA
49,5,D,"lsi, ld",20,55,2.383,CC,C,C,NA
50,5,D,NA,13,52,2.383,CC,C,C,NA
51,5,D,"lsc, lpd",25,55,2.383,W,W,,NA
52,5,D,lpd,18,51,2.383,CW,C,W,NA
53,5,D,ld,25,42,2.383,CC,C,C,NA
54,5,D,"lsi, lpd",22,70,2.383,CC,C,C,NA
55,5,D,"lsc, lsi, ld, lpd",19,67,2.383,WW,W,W,NA
56,5,D,"lsi, ld",11,73,2.383,WW,W,W,NA
57,5,D,NA,19,74,2.383,WC,W,C,NA
58,5,D,lsi,15,77,2.383,CC,C,C,NA
59,5,D,"lsc, lsi, ld, lpd",19,77,2.383,CW,C,W,NA
60,5,D,ld,10,77,2.383,WC,W,C,NA
61,5,D,"lsc, ld",17,76,2.383,CW,C,W,NA
62,5,D,lsc,23,50,2.383,WC,W,C,NA
63,5,D,"lsc, ld",17,35,2.383,WC,W,C,NA
64,5,D,lsi,13,50,2.383,WW,W,W,NA
65,5,E,"lsi, ld",13,107,2.242,W,W,,NA
66,5,E,lpd,17,88,2.242,C,C,,NA
67,5,E,ld,19,114,2.242,W,W,,NA
68,5,E,NA,16,125,2.242,WC,W,C,NA
69,5,E,"lsc, ld",18,115,2.242,C,C,,NA
70,5,E,lpd,18,103,2.242,WW,W,W,NA
71,5,E,lsc,20,98,2.242,WC,W,C,NA
72,5,E,"lsc, lsi, ld, lpd",21,88,2.242,CC,C,C,NA
73,5,E,ld,14,110,2.242,CC,C,C,NA
74,5,E,"lsc, lpd",16,113,2.242,CC,C,C,NA
75,5,E,"lsi, lpd",14,115,2.242,WC,W,C,NA
76,5,E,lsi,13,100,2.242,CW,C,W,NA
77,5,E,"lsi, lpd",13,95,2.242,CW,C,W,NA
78,5,E,lsc,18,85,2.242,CW,C,W,NA
79,5,E,"lsc, lsi, ld, lpd",20,85,2.242,WW,W,W,NA
80,5,E,lsi,22,97,2.242,WW,W,W,NA
81,5,F,lsi,15,112,2.148,WW,W,W,NA
82,5,F,"lsc, ld",15,115,2.148,WW,W,W,NA
83,5,F,ld,18,125,2.148,CW,C,W,NA
84,5,F,"lsc, lsi, ld, lpd",16,122,2.148,CC,C,C,NA
85,5,F,ld,19,118,2.148,WC,W,C,NA
86,5,F,"lsc, lpd",18,115,2.148,WC,W,C,NA
87,5,F,NA,23,110,2.148,CW,C,W,NA
88,5,F,"lsi, ld",22,115,2.148,WW,W,W,NA
89,5,F,"lsc, lpd",24,105,2.148,C,C,,NA
90,5,F,NA,27,122,2.148,WC,W,C,NA
91,5,F,"lsi, lpd",25,117,2.148,CC,C,C,NA
92,5,F,"lsc, ld",27,115,2.148,CC,C,C,NA
93,5,F,"lsc, lsi, ld, lpd",30,125,2.148,WW,W,W,NA
94,5,F,lsi,22,125,2.148,CW,C,W,NA
95,5,F,lpd,28,125,2.148,CW,C,W,NA
96,5,F,"lsi, lpd",26,115,2.148,WW,W,W,NA
1,6,A,"lsc, lpd",11,98,2.155,WC,W,C,NA
2,6,A,"lsc, ld",12,102,2.155,CC,C,C,NA
3,6,A,"lsi, ld",14,108,2.155,WW,W,W,NA
4,6,A,lsc,23,95,2.155,WW,W,W,NA
5,6,A,ld,25,85,2.155,WC,W,C,NA
6,6,A,"lsi, ld",24,89,2.155,WC,W,C,NA
7,6,A,lpd,23,89,2.155,CC,C,C,NA
8,6,A,"lsc, lsi, ld, lpd",28,89,2.155,CW,C,W,NA
9,6,A,lsc,22,85,2.155,CC,C,C,NA
10,6,A,lsi,22,80,2.155,WC,W,C,NA
11,6,A,ld,23,80,2.155,CW,C,W,NA
12,6,A,lsi,24,82,2.155,CW,C,W,NA
13,6,A,"lsc, ld",24,106,2.155,CW,C,W,NA
14,6,A,"lsi, lpd",26,95,2.155,WW,W,W,NA
15,6,A,lpd,32,103,2.155,WW,W,W,NA
16,6,A,"lsi, lpd",34,90,2.155,CC,C,C,NA
17,6,B,ld,17,75,2.543,WC,W,C,NA
18,6,B,lsc,18,79,2.543,WW,W,W,NA
19,6,B,"lsc, lsi, ld, lpd",17,85,2.543,CW,C,W,NA
20,6,B,lsi,21,81,2.543,CC,C,C,NA
21,6,B,NA,25,78,2.543,CC,C,C,NA
22,6,B,"lsc, ld",19,58,2.543,WC,W,C,NA
23,6,B,"lsc, lpd",10,75,2.543,WW,W,W,NA
24,6,B,lpd,16,73,2.543,WC,W,C,NA
25,6,B,ld,18,74,2.543,CW,C,W,NA
26,6,B,"lsi, lpd",17,75,2.543,W,W,,NA
27,6,B,"lsc, ld",14,67,2.543,C,C,,NA
28,6,B,"lsi, ld",14,61,2.543,WW,W,W,NA
29,6,B,lsc,12,60,2.543,CC,C,C,NA
30,6,B,"lsc, lsi, ld, lpd",7,58,2.543,WW,W,W,NA
31,6,B,"lsc, lpd",13,56,2.543,WW,W,W,NA
32,6,B,lsi,13,60,2.543,CW,C,W,NA
33,6,C,NA,17,65,2.551,WW,W,W,NA
34,6,C,"lsi, lpd",13,68,2.551,C,C,,NA
35,6,C,"lsi, ld",13,60,2.551,CC,C,C,NA
36,6,C,"lsc, ld",11,55,2.551,WC,W,C,NA
37,6,C,lpd,11,51,2.551,CW,C,W,NA
38,6,C,"lsc, lpd",15,44,2.551,WW,W,W,NA
39,6,C,lsc,13,75,2.551,WC,W,C,NA
40,6,C,lpd,19,67,2.551,WC,W,C,NA
41,6,C,"lsi, ld",18,65,2.551,CC,C,C,NA
42,6,C,"lsc, lsi, ld, lpd",16,66,2.551,WW,W,W,NA
43,6,C,NA,14,70,2.551,WW,W,W,NA
44,6,C,"lsi, lpd",9,65,2.551,WW,W,W,NA
45,6,C,lsc,17,55,2.551,CC,C,C,NA
46,6,C,"lsc, lpd",15,67,2.551,CW,C,W,NA
47,6,C,lsc,17,55,2.551,CC,C,C,NA
48,6,C,NA,13,60,2.551,CW,C,W,NA
49,6,D,"lsi, ld",20,55,2.383,CC,C,C,NA
50,6,D,NA,13,52,2.383,CC,C,C,NA
51,6,D,"lsc, lpd",25,55,2.383,W,W,,NA
52,6,D,lpd,18,51,2.383,CW,C,W,NA
53,6,D,ld,25,42,2.383,CC,C,C,NA
54,6,D,"lsi, lpd",22,70,2.383,CC,C,C,NA
55,6,D,"lsc, lsi, ld, lpd",19,67,2.383,WW,W,W,NA
56,6,D,"lsi, ld",11,73,2.383,WW,W,W,NA
57,6,D,NA,19,74,2.383,WC,W,C,NA
58,6,D,lsi,15,77,2.383,CC,C,C,NA
59,6,D,"lsc, lsi, ld, lpd",19,77,2.383,CW,C,W,NA
60,6,D,ld,10,77,2.383,WC,W,C,NA
61,6,D,"lsc, ld",17,76,2.383,CW,C,W,NA
62,6,D,lsc,23,50,2.383,WC,W,C,NA
63,6,D,"lsc, ld",17,35,2.383,WC,W,C,NA
64,6,D,lsi,13,50,2.383,WW,W,W,NA
65,6,E,"lsi, ld",13,107,2.242,W,W,,NA
66,6,E,lpd,17,88,2.242,C,C,,NA
67,6,E,ld,19,114,2.242,W,W,,NA
68,6,E,NA,16,125,2.242,WC,W,C,NA
69,6,E,"lsc, ld",18,115,2.242,C,C,,NA
70,6,E,lpd,18,103,2.242,WW,W,W,NA
71,6,E,lsc,20,98,2.242,WC,W,C,NA
72,6,E,"lsc, lsi, ld, lpd",21,88,2.242,CC,C,C,NA
73,6,E,ld,14,110,2.242,CC,C,C,NA
74,6,E,"lsc, lpd",16,113,2.242,CC,C,C,NA
75,6,E,"lsi, lpd",14,115,2.242,WC,W,C,NA
76,6,E,lsi,13,100,2.242,CW,C,W,NA
77,6,E,"lsi, lpd",13,95,2.242,CW,C,W,NA
78,6,E,lsc,18,85,2.242,CW,C,W,NA
79,6,E,"lsc, lsi, ld, lpd",20,85,2.242,WW,W,W,NA
80,6,E,lsi,22,97,2.242,WW,W,W,NA
81,6,F,lsi,15,112,2.148,WW,W,W,NA
82,6,F,"lsc, ld",15,115,2.148,WW,W,W,NA
83,6,F,ld,18,125,2.148,CW,C,W,NA
84,6,F,"lsc, lsi, ld, lpd",16,122,2.148,CC,C,C,NA
85,6,F,ld,19,118,2.148,WC,W,C,NA
86,6,F,"lsc, lpd",18,115,2.148,WC,W,C,NA
87,6,F,NA,23,110,2.148,CW,C,W,NA
88,6,F,"lsi, ld",22,115,2.148,WW,W,W,NA
89,6,F,"lsc, lpd",24,105,2.148,C,C,,NA
90,6,F,NA,27,122,2.148,WC,W,C,NA
91,6,F,"lsi, lpd",25,117,2.148,CC,C,C,NA
92,6,F,"lsc, ld",27,115,2.148,CC,C,C,NA
93,6,F,"lsc, lsi, ld, lpd",30,125,2.148,WW,W,W,NA
94,6,F,lsi,22,125,2.148,CW,C,W,NA
95,6,F,lpd,28,125,2.148,CW,C,W,NA
96,6,F,"lsi, lpd",26,115,2.148,WW,W,W,NA
1,7,A,"lsc, lpd",11,98,2.155,WC,W,C,NA
2,7,A,"lsc, ld",12,102,2.155,CC,C,C,NA
3,7,A,"lsi, ld",14,108,2.155,WW,W,W,NA
4,7,A,lsc,23,95,2.155,WW,W,W,NA
5,7,A,ld,25,85,2.155,WC,W,C,NA
6,7,A,"lsi, ld",24,89,2.155,WC,W,C,NA
7,7,A,lpd,23,89,2.155,CC,C,C,NA
8,7,A,"lsc, lsi, ld, lpd",28,89,2.155,CW,C,W,NA
9,7,A,lsc,22,85,2.155,CC,C,C,NA
10,7,A,lsi,22,80,2.155,WC,W,C,NA
11,7,A,ld,23,80,2.155,CW,C,W,NA
12,7,A,lsi,24,82,2.155,CW,C,W,NA
13,7,A,"lsc, ld",24,106,2.155,CW,C,W,NA
14,7,A,"lsi, lpd",26,95,2.155,WW,W,W,NA
15,7,A,lpd,32,103,2.155,WW,W,W,NA
16,7,A,"lsi, lpd",34,90,2.155,CC,C,C,NA
17,7,B,ld,17,75,2.543,WC,W,C,NA
18,7,B,lsc,18,79,2.543,WW,W,W,NA
19,7,B,"lsc, lsi, ld, lpd",17,85,2.543,CW,C,W,NA
20,7,B,lsi,21,81,2.543,CC,C,C,NA
21,7,B,NA,25,78,2.543,CC,C,C,NA
22,7,B,"lsc, ld",19,58,2.543,WC,W,C,NA
23,7,B,"lsc, lpd",10,75,2.543,WW,W,W,NA
24,7,B,lpd,16,73,2.543,WC,W,C,NA
25,7,B,ld,18,74,2.543,CW,C,W,NA
26,7,B,"lsi, lpd",17,75,2.543,W,W,,NA
27,7,B,"lsc, ld",14,67,2.543,C,C,,NA
28,7,B,"lsi, ld",14,61,2.543,WW,W,W,NA
29,7,B,lsc,12,60,2.543,CC,C,C,NA
30,7,B,"lsc, lsi, ld, lpd",7,58,2.543,WW,W,W,NA
31,7,B,"lsc, lpd",13,56,2.543,WW,W,W,NA
32,7,B,lsi,13,60,2.543,CW,C,W,NA
33,7,C,NA,17,65,2.551,WW,W,W,NA
34,7,C,"lsi, lpd",13,68,2.551,C,C,,NA
35,7,C,"lsi, ld",13,60,2.551,CC,C,C,NA
36,7,C,"lsc, ld",11,55,2.551,WC,W,C,NA
37,7,C,lpd,11,51,2.551,CW,C,W,NA
38,7,C,"lsc, lpd",15,44,2.551,WW,W,W,NA
39,7,C,lsc,13,75,2.551,WC,W,C,NA
40,7,C,lpd,19,67,2.551,WC,W,C,NA
41,7,C,"lsi, ld",18,65,2.551,CC,C,C,NA
42,7,C,"lsc, lsi, ld, lpd",16,66,2.551,WW,W,W,NA
43,7,C,NA,14,70,2.551,WW,W,W,NA
44,7,C,"lsi, lpd",9,65,2.551,WW,W,W,NA
45,7,C,lsc,17,55,2.551,CC,C,C,NA
46,7,C,"lsc, lpd",15,67,2.551,CW,C,W,NA
47,7,C,lsc,17,55,2.551,CC,C,C,NA
48,7,C,NA,13,60,2.551,CW,C,W,NA
49,7,D,"lsi, ld",20,55,2.383,CC,C,C,NA
50,7,D,NA,13,52,2.383,CC,C,C,NA
51,7,D,"lsc, lpd",25,55,2.383,W,W,,NA
52,7,D,lpd,18,51,2.383,CW,C,W,NA
53,7,D,ld,25,42,2.383,CC,C,C,NA
54,7,D,"lsi, lpd",22,70,2.383,CC,C,C,NA
55,7,D,"lsc, lsi, ld, lpd",19,67,2.383,WW,W,W,NA
56,7,D,"lsi, ld",11,73,2.383,WW,W,W,NA
57,7,D,NA,19,74,2.383,WC,W,C,NA
58,7,D,lsi,15,77,2.383,CC,C,C,NA
59,7,D,"lsc, lsi, ld, lpd",19,77,2.383,CW,C,W,NA
60,7,D,ld,10,77,2.383,WC,W,C,NA
61,7,D,"lsc, ld",17,76,2.383,CW,C,W,NA
62,7,D,lsc,23,50,2.383,WC,W,C,NA
63,7,D,"lsc, ld",17,35,2.383,WC,W,C,NA
64,7,D,lsi,13,50,2.383,WW,W,W,NA
65,7,E,"lsi, ld",13,107,2.242,W,W,,NA
66,7,E,lpd,17,88,2.242,C,C,,NA
67,7,E,ld,19,114,2.242,W,W,,NA
68,7,E,NA,16,125,2.242,WC,W,C,NA
69,7,E,"lsc, ld",18,115,2.242,C,C,,NA
70,7,E,lpd,18,103,2.242,WW,W,W,NA
71,7,E,lsc,20,98,2.242,WC,W,C,NA
72,7,E,"lsc, lsi, ld, lpd",21,88,2.242,CC,C,C,NA
73,7,E,ld,14,110,2.242,CC,C,C,NA
74,7,E,"lsc, lpd",16,113,2.242,CC,C,C,NA
75,7,E,"lsi, lpd",14,115,2.242,WC,W,C,NA
76,7,E,lsi,13,100,2.242,CW,C,W,NA
77,7,E,"lsi, lpd",13,95,2.242,CW,C,W,NA
78,7,E,lsc,18,85,2.242,CW,C,W,NA
79,7,E,"lsc, lsi, ld, lpd",20,85,2.242,WW,W,W,NA
80,7,E,lsi,22,97,2.242,WW,W,W,NA
81,7,F,lsi,15,112,2.148,WW,W,W,NA
82,7,F,"lsc, ld",15,115,2.148,WW,W,W,NA
83,7,F,ld,18,125,2.148,CW,C,W,NA
84,7,F,"lsc, lsi, ld, lpd",16,122,2.148,CC,C,C,NA
85,7,F,ld,19,118,2.148,WC,W,C,NA
86,7,F,"lsc, lpd",18,115,2.148,WC,W,C,NA
87,7,F,NA,23,110,2.148,CW,C,W,NA
88,7,F,"lsi, ld",22,115,2.148,WW,W,W,NA
89,7,F,"lsc, lpd",24,105,2.148,C,C,,NA
90,7,F,NA,27,122,2.148,WC,W,C,NA
91,7,F,"lsi, lpd",25,117,2.148,CC,C,C,NA
92,7,F,"lsc, ld",27,115,2.148,CC,C,C,NA
93,7,F,"lsc, lsi, ld, lpd",30,125,2.148,WW,W,W,NA
94,7,F,lsi,22,125,2.148,CW,C,W,NA
95,7,F,lpd,28,125,2.148,CW,C,W,NA
96,7,F,"lsi, lpd",26,115,2.148,WW,W,W,NA
1,8,A,"lsc, lpd",11,98,2.155,WC,W,C,NA
2,8,A,"lsc, ld",12,102,2.155,CC,C,C,NA
3,8,A,"lsi, ld",14,108,2.155,WW,W,W,NA
4,8,A,lsc,23,95,2.155,WW,W,W,NA
5,8,A,ld,25,85,2.155,WC,W,C,NA
6,8,A,"lsi, ld",24,89,2.155,WC,W,C,NA
7,8,A,lpd,23,89,2.155,CC,C,C,NA
8,8,A,"lsc, lsi, ld, lpd",28,89,2.155,CW,C,W,NA
9,8,A,lsc,22,85,2.155,CC,C,C,NA
10,8,A,lsi,22,80,2.155,WC,W,C,NA
11,8,A,ld,23,80,2.155,CW,C,W,NA
12,8,A,lsi,24,82,2.155,CW,C,W,NA
13,8,A,"lsc, ld",24,106,2.155,CW,C,W,NA
14,8,A,"lsi, lpd",26,95,2.155,WW,W,W,NA
15,8,A,lpd,32,103,2.155,WW,W,W,NA
16,8,A,"lsi, lpd",34,90,2.155,CC,C,C,NA
17,8,B,ld,17,75,2.543,WC,W,C,NA
18,8,B,lsc,18,79,2.543,WW,W,W,NA
19,8,B,"lsc, lsi, ld, lpd",17,85,2.543,CW,C,W,NA
20,8,B,lsi,21,81,2.543,CC,C,C,NA
21,8,B,NA,25,78,2.543,CC,C,C,NA
22,8,B,"lsc, ld",19,58,2.543,WC,W,C,NA
23,8,B,"lsc, lpd",10,75,2.543,WW,W,W,NA
24,8,B,lpd,16,73,2.543,WC,W,C,NA
25,8,B,ld,18,74,2.543,CW,C,W,NA
