new_block,new_number,tile_height_1,tile_height_2,tile_height_3
A,1,1.71,1.78,2.01
A,2,1.92,2.22,2.01
A,3,1.57,1.77,1.84
A,4,1.89,1.61,1.73
A,5,1.34,1.93,1.44
A,6,1.86,1.61,1.79
A,7,1.49,1.84,1.45
A,8,2.06,2.08,1.85
A,9,2.12,1.82,2.13
A,10,1.92,1.89,1.86
A,11,1.66,1.89,1.73
A,12,1.84,1.99,1.8
A,13,2.05,1.92,2.01
A,14,1.98,1.95,2.11
A,15,1.7,1.76,1.63
A,16,2.12,1.82,1.94
B,1,2.04,2.12,2.05
B,2,2.13,2.22,2.18
B,3,2.08,2.21,2.4
B,4,2.21,2.35,2.36
B,5,2.21,2.13,2.06
B,6,2.42,2.22,2.01
B,7,1.99,2.54,2.35
B,8,2.05,2.01,2.24
B,9,2.03,2.36,2.22
B,10,2.42,2.27,2.22
B,11,2.1,2.24,2.25
B,12,2.06,2.06,2.13
B,13,2.01,1.88,2.01
B,14,2.14,1.85,2.43
B,15,2.49,2.27,2.22
B,16,1.85,1.77,2.04
C,1,2.22,2.12,2.24
C,2,2.28,2.19,2.33
C,3,2.34,2.25,2.42
C,4,2.2,2.44,2.39
C,5,1.92,2.22,2.41
C,6,2.19,2.38,2.11
C,7,1.83,2.15,2.31
C,8,2.14,2.2,2.1
C,9,2.31,2.08,2.29
C,10,2.19,2.24,2.25
C,11,2.13,2.24,2.25
C,12,2.41,2.1,2.07
C,13,2.07,2.24,2.42
C,14,2.25,2.05,2.22
C,15,1.84,1.99,1.89
C,16,2.49,2.25,2.27
D,1,1.88,2.04,2.12
D,2,2.03,2.22,2.14
D,3,1.88,2.25,2.01
D,4,2.12,1.88,2.05
D,5,2.14,1.85,2.01
D,6,2.12,2.25,2.05
D,7,2.21,2.14,2.21
D,8,2.28,2.20,2.07
D,9,2.34,2.25,1.92
D,10,1.92,2.07,2.12
D,11,1.99,2.2,1.89
D,12,2.21,2.13,2.3
D,13,1.9,1.86,1.95
D,14,2.03,2.18,2.01
D,15,2.04,1.88,2.27
D,16,2.12,2.01,2.04
E,1,2.08,1.84,1.99
E,2,2.04,1.76,1.92
E,3,1.95,1.84,1.98
E,4,1.85,1.92,2.04
E,5,2.25,1.88,2.22
E,6,2.13,1.92,1.88
E,7,1.73,1.8,2.01
E,8,2.08,1.76,1.84
E,9,1.87,2.14,2.22
E,10,2.01,1.97,1.98
E,11,2.22,2.18,1.87
E,12,1.73,2.04,1.88
E,13,2.04,2.12,2.25
E,14,2.19,1.92,2.01
E,15,1.73,1.8,2.01
E,16,1.98,2.08,2.02
F,1,1.84,1.66,1.7
F,2,1.73,1.85,1.76
F,3,1.34,1.32,1.45
F,4,1.89,1.85,1.75
F,5,1.61,1.75,1.65
F,6,1.69,1.76,1.45
F,7,2.04,1.92,2.19
F,8,1.64,1.9,1.84
F,9,1.89,1.85,2.12
F,10,1.89,1.77,2.04
F,11,2.04,2.12,1.88
F,12,2.03,1.87,2.01
F,13,1.92,1.92,1.92
F,14,2.05,2.07,1.89
F,15,2.18,2.22,1.86
F,16,2.2,2.12,2.18
A,0,2.1,1.87,2.04
B,0,1.9,2.29,2.28
C,0,2.27,2.32,2.04
D,0,1.79,2.08,1.79
E,0,1.86,1.83,2.1
F,0,2.13,1.92,2.01