original_block,original_no,original_angle,original_herb_trt,original_shore_level,new_block,new_no,new_angle,new_compass,new_shore_level,colour_y1,colour_y2,survived,treatment,tile_id
B,1,13,"lsc, lpd",2.404,A,1,11,98,2.155,black,white,y,WC,1
B,2,14,"lsc, ld",2.404,A,2,12,102,2.155,white,white,y,CC,2
B,3,14,"lsi, ld",2.404,A,3,14,108,2.155,black,black,y,WW,3
B,4,28,lsc,2.404,A,4,23,95,2.155,black,black,y,WW,4
B,5,24,ld,2.404,A,5,25,85,2.155,black,white,y,WC,5
B,6,23,"lsi, ld",2.404,A,6,24,89,2.155,black,white,y,WC,6
B,7,23,lpd,2.404,A,7,23,89,2.155,white,white,y,CC,7
B,8,28,"lsc, lsi, ld, lpd",2.404,A,8,28,89,2.155,white,black,y,CW,8
B,9,21,lsc,2.404,A,9,22,85,2.155,white,white,y,CC,9
B,10,24,lsi,2.404,A,10,22,80,2.155,black,white,y,WC,10
B,11,23,ld,2.404,A,11,23,80,2.155,white,black,y,CW,11
B,12,26,lsi,2.404,A,12,24,82,2.155,white,black,y,CW,12
B,17,34,"lsc, ld",2.404,A,13,24,106,2.155,white,black,y,CW,13
B,18,29,"lsi, lpd",2.404,A,14,26,95,2.155,black,black,y,WW,14
B,19,32,lpd,2.404,A,15,32,103,2.155,black,black,y,WW,15
B,20,33,"lsi, lpd",2.404,A,16,34,90,2.155,white,white,y,CC,16
E,14,16,ld,2.18,B,1,17,75,2.543,black,white,y,WC,17
E,10,12,lsc,2.18,B,2,18,79,2.543,black,black,y,WW,18
E,18,7,"lsc, lsi, ld, lpd",2.18,B,3,17,85,2.543,white,black,y,CW,19
E,19,7,lsi,2.18,B,4,21,81,2.543,white,white,y,CC,20
E,13,17,NA,2.18,B,5,25,78,2.543,white,white,y,CC,21
E,20,5,"lsc, ld",2.18,B,6,19,58,2.543,black,white,y,WC,22
E,1,11,"lsc, lpd",2.18,B,7,10,75,2.543,black,black,y,WW,23
E,2,1,lpd,2.18,B,8,16,73,2.543,black,white,y,WC,24
E,11,9,ld,2.18,B,9,18,74,2.543,white,black,y,CW,25
E,12,12,"lsi, lpd",2.18,B,10,17,75,2.543,black,NA,NA,W,26
E,3,8,"lsc, ld",2.18,B,11,14,67,2.543,white,NA,NA,C,27
E,16,14,"lsi, ld",2.18,B,12,14,61,2.543,black,black,y,WW,28
E,15,16,lsc,2.18,B,13,12,60,2.543,white,white,y,CC,29
E,6,12,"lsc, lsi, ld, lpd",2.18,B,14,7,58,2.543,black,black,y,WW,30
E,17,8,"lsc, lpd",2.18,B,15,13,56,2.543,black,black,y,WW,31
E,7,16,lsi,2.18,B,16,13,60,2.543,white,black,y,CW,32
E,8,12,NA,2.18,C,1,17,65,2.551,black,black,y,WW,33
E,5,9,"lsi, lpd",2.18,C,2,13,68,2.551,white,NA,y,C,34
E,9,11,"lsi, ld",2.18,C,3,13,60,2.551,white,white,y,CC,35
C,7,19,"lsc, ld",2.105,C,4,11,55,2.551,black,white,y,WC,36
E,4,6,lpd,2.18,C,5,11,51,2.551,white,black,y,CW,37
C,4,18,"lsc, lpd",2.105,C,6,15,44,2.551,black,black,y,WW,38
D,8,29,lsc,2.256,C,7,13,75,2.551,black,white,y,WC,39
D,6,20,lpd,2.256,C,8,19,67,2.551,black,white,y,WC,40
C,6,15,"lsi, ld",2.105,C,9,18,65,2.551,white,white,y,CC,41
B,14,14,"lsc, lsi, ld, lpd",2.404,C,10,16,66,2.551,black,black,y,WW,42
B,13,16,NA,2.404,C,11,14,70,2.551,black,black,y,WW,43
A,18,29,"lsi, lpd",2.382,C,12,9,65,2.551,black,black,y,WW,44
D,19,28,lsc,2.256,C,13,17,55,2.551,white,white,y,CC,45
A,19,15,"lsc, lpd",2.382,C,14,15,67,2.551,white,black,y,CW,46
A,3,32,lsc,2.382,C,15,17,55,2.551,white,white,y,CC,47
C,5,20,NA,2.105,C,16,13,60,2.551,white,black,y,CW,48
A,1,16,"lsi, ld",2.382,D,1,20,55,2.383,white,white,y,CC,49
A,2,23,NA,2.382,D,2,13,52,2.383,white,white,y,CC,50
A,4,32,"lsc, lpd",2.382,D,3,25,55,2.383,black,NA,NA,W,51
A,5,34,lpd,2.382,D,4,18,51,2.383,white,black,y,CW,52
A,6,23,ld,2.382,D,5,25,42,2.383,white,white,y,CC,53
A,7,23,"lsi, lpd",2.382,D,6,22,70,2.383,white,white,y,CC,54
A,8,18,"lsc, lsi, ld, lpd",2.382,D,7,19,67,2.383,black,black,y,WW,55
A,9,17,"lsi, ld",2.382,D,8,11,73,2.383,black,black,y,WW,56
A,10,18,NA,2.382,D,9,19,74,2.383,black,white,y,WC,57
A,11,20,lsi,2.382,D,10,15,77,2.383,white,white,y,CC,58
A,12,17,"lsc, lsi, ld, lpd",2.382,D,11,19,77,2.383,white,black,y,CW,59
A,13,23,ld,2.382,D,12,10,77,2.383,black,white,y,WC,60
A,14,19,"lsc, ld",2.382,D,13,17,76,2.383,white,black,y,CW,61
A,15,19,lsc,2.382,D,14,23,50,2.383,black,white,y,WC,62
A,16,28,"lsc, ld",2.382,D,15,17,35,2.383,black,white,y,WC,63
A,17,36,lsi,2.382,D,16,13,50,2.383,black,black,y,WW,64
C,1,14,"lsi, ld",2.105,E,1,13,107,2.242,black,NA,NA,W,65
C,2,12,lpd,2.105,E,2,17,88,2.242,white,NA,NA,C,66
C,3,16,ld,2.105,E,3,19,114,2.242,black,NA,NA,W,67
C,8,16,NA,2.105,E,4,16,125,2.242,black,white,y,WC,68
C,9,20,"lsc, ld",2.105,E,5,18,115,2.242,white,NA,NA,C,69
C,10,20,lpd,2.105,E,6,18,103,2.242,black,black,y,WW,70
C,11,16,lsc,2.105,E,7,20,98,2.242,black,white,y,WC,71
C,12,11,"lsc, lsi, ld, lpd",2.105,E,8,21,88,2.242,white,white,y,CC,72
C,13,10,ld,2.105,E,9,14,110,2.242,white,white,y,CC,73
C,14,9,"lsc, lpd",2.105,E,10,16,113,2.242,white,white,y,CC,74
C,15,11,"lsi, lpd",2.105,E,11,14,115,2.242,black,white,y,WC,75
C,16,13,lsi,2.105,E,12,13,100,2.242,white,black,y,CW,76
C,17,14,"lsi, lpd",2.105,E,13,13,95,2.242,white,black,y,CW,77
C,18,18,lsc,2.105,E,14,18,85,2.242,white,black,y,CW,78
C,19,15,"lsc, lsi, ld, lpd",2.105,E,15,20,85,2.242,black,black,y,WW,79
C,20,15,lsi,2.105,E,16,22,97,2.242,black,black,y,WW,80
D,1,15,lsi,2.256,F,1,15,112,2.148,black,black,y,WW,81
D,2,16,"lsc, ld",2.256,F,2,15,115,2.148,black,black,y,WW,82
D,3,19,ld,2.256,F,3,18,125,2.148,white,black,y,CW,83
D,4,11,"lsc, lsi, ld, lpd",2.256,F,4,16,122,2.148,white,white,y,CC,84
D,5,19,ld,2.256,F,5,19,118,2.148,black,white,y,WC,85
D,7,20,"lsc, lpd",2.256,F,6,18,115,2.148,black,white,y,WC,86
D,9,22,NA,2.256,F,7,23,110,2.148,white,black,NA,CW,87
D,10,22,"lsi, ld",2.256,F,8,22,115,2.148,black,black,y,WW,88
D,11,24,"lsc, lpd",2.256,F,9,24,105,2.148,white,NA,NA,C,89
D,12,26,NA,2.256,F,10,27,122,2.148,black,white,y,WC,90
D,13,25,"lsi, lpd",2.256,F,11,25,117,2.148,white,white,y,CC,91
D,14,25,"lsc, ld",2.256,F,12,27,115,2.148,white,white,y,CC,92
D,15,30,"lsc, lsi, ld, lpd",2.256,F,13,30,125,2.148,black,black,y,WW,93
D,16,23,lsi,2.256,F,14,22,125,2.148,white,black,NA,CW,94
D,17,29,lpd,2.256,F,15,28,125,2.148,white,black,y,CW,95
D,18,24,"lsi, lpd",2.256,F,16,26,115,2.148,black,black,y,WW,96
A,20,10,lpd,2.382,NA,NA,NA,NA,NA,black,NA,NA,W,97
B,15,15,"lsc, lpd",2.404,NA,NA,NA,NA,NA,white,NA,NA,C,98
B,16,11,NA,2.404,NA,NA,NA,NA,NA,white,NA,NA,C,99
D,20,28,"lsi, ld",2.256,NA,NA,NA,NA,NA,white,NA,NA,C,100
A,0,,,2.382,,,,,,,,,rock,
B,0,,,2.404,,,,,,,,,rock,
C,0,,,2.105,,,,,,,,,rock,
D,0,,,2.256,,,,,,,,,rock,
E,0,,,2.18,,,,,,,,,rock,
,,,,,A,0,,,2.155,,,,rock,
,,,,,B,0,,,2.543,,,,rock,
,,,,,C,0,,,2.551,,,,rock,
,,,,,D,0,,,2.383,,,,rock,
,,,,,E,0,,,2.242,,,,rock,
,,,,,F,0,,,2.148,,,,rock,