block,number,taxon,abund,notes
A,3,all,0,
F,13,all,0,
F,8,all,0,
B,1,amphipoda_larva,1,same as usual - picture May 18
B,1,amphipoda_1,3,
D,12,amphipoda_1,8,
E,13,amphipoda_1,2,
E,12,amphipoda_1,1,
F,6,amphipoda_1,7,
D,9,amphipoda_1,3,
F,5,amphipoda_1,4,
E,9,amphipoda_1,34,
A,2,amphipoda_1,1,
A,12,amphipoda_1,4,
C,14,amphipoda_1,5,
F,12,amphipoda_1,5,
C,9,amphipoda_1,7,
D,5,amphipoda_1,1,
F,3,amphipoda_1,1,
E,10,amphipoda_1,6,
B,6,amphipoda_1,1,
B,2,amphipoda_1,1,
C,4,amphipoda_1,1,
B,14,amphipoda_1,1,
E,4,amphipoda_1,1,
F,11,amphipoda_1,2,
D,1,amphipoda_1,7,
D,2,amphipoda_1,4,
D,2,annelida_1,2,"plain worm, segmented, small"
E,9,lasaea_rubra,2,
E,10,lasaea_rubra,2,
B,1,cirripedia_cyprid,2,
D,12,copepoda,3,
B,4,copepoda,1,
D,12,cirripedia_cyprid,29,
E,13,cirripedia_cyprid,1,
E,12,cirripedia_cyprid,1,
E,11,cirripedia_cyprid,1,
D,9,cirripedia_cyprid,16,
D,8,cirripedia_cyprid,3,
E,9,cirripedia_cyprid,39,
A,15,cirripedia_cyprid,1,
A,13,cirripedia_cyprid,5,
A,2,cirripedia_cyprid,12,
C,12,cirripedia_cyprid,2,
C,14,cirripedia_cyprid,9,
F,12,cirripedia_cyprid,13, 
C,9,cirripedia_cyprid,19,
D,5,cirripedia_cyprid,4,
F,3,cirripedia_cyprid,2,
E,10,cirripedia_cyprid,38,
B,6,cirripedia_cyprid,4,
B,2,cirripedia_cyprid,2,
B,4,cirripedia_cyprid,11,
C,4,cirripedia_cyprid,3,
E,4,cirripedia_cyprid,2,
C,10,cirripedia_cyprid,3,
F,11,cirripedia_cyprid,23,
D,1,cirripedia_cyprid,56,
D,2,cirripedia_cyprid,78,
D,9,emplectonema_gracile,2,
D,1,emplectonema_gracile,1,
D,2,emplectonema_gracile,2,
D,2,platyhelminthes,1,
D,12,dynamenella_sheareri,5,
E,15,dynamenella_sheareri,1,
A,1,dynamenella_sheareri,1,
E,9,dynamenella_sheareri,11,
A,13,dynamenella_sheareri,1,
F,12,dynamenella_sheareri,2,
E,10,dynamenella_sheareri,1,
F,11,dynamenella_sheareri,1,
D,1,dynamenella_sheareri,19,
D,2,dynamenella_sheareri,11,
D,2,insecta_3,1,insect larva??
D,12,isopoda_2,2,picture May 18
E,15,isopoda_2,1,
A,13,isopoda_2,4,
C,14,isopoda_2,1,
E,10,isopoda_2,2,
B,1,littorina_scutulata,3,
D,12,littorina_scutulata,23,
E,12,littorina_scutulata,1,
E,11,littorina_scutulata,14,
D,9,littorina_scutulata,4,
D,8,littorina_scutulata,7,
F,5,littorina_scutulata,1,
E,9,littorina_scutulata,53,
A,13,littorina_scutulata,4,
A,2,littorina_scutulata,11,
C,14,littorina_scutulata,4,
F,12,littorina_scutulata,9,
C,9,littorina_scutulata,20,
D,5,littorina_scutulata,1,
E,10,littorina_scutulata,20,
B,4,littorina_scutulata,1,
C,4,littorina_scutulata,2,
F,11,littorina_scutulata,26,
D,1,littorina_scutulata,72,
D,2,littorina_scutulata,76,
B,1,littorina_sitkana,11,
D,12,littorina_sitkana,4,
E,13,littorina_sitkana,4,
A,1,littorina_sitkana,1,
E,11,littorina_sitkana,13,
D,9,littorina_sitkana,4,
D,8,littorina_sitkana,2,
E,9,littorina_sitkana,77,
A,13,littorina_sitkana,5,
A,2,littorina_sitkana,2,
B,9,littorina_sitkana,1,
E,6,littorina_sitkana,2,
F,12,littorina_sitkana,10,
C,9,littorina_sitkana,2,
F,3,littorina_sitkana,1,
E,10,littorina_sitkana,32,
B,4,littorina_sitkana,3,
C,4,littorina_sitkana,1,
C,10,littorina_sitkana,1,
F,11,littorina_sitkana,5,
D,1,littorina_sitkana,5,
B,1,lottia_digitalis,1,
D,12,lottia_digitalis,1,
E,11,lottia_digitalis,7,
D,8,lottia_digitalis,2,
C,14,lottia_digitalis,1,
C,9,lottia_digitalis,2,
D,1,lottia_digitalis,5,
D,2,lottia_digitalis,2,
D,12,lottia_paradigitalis,13,
C,11,lottia_paradigitalis,1,
E,13,lottia_paradigitalis,4,
A,1,lottia_paradigitalis,6,
E,12,lottia_paradigitalis,2,
E,11,lottia_paradigitalis,6,
D,9,lottia_paradigitalis,18,
D,8,lottia_paradigitalis,7,
E,9,lottia_paradigitalis,37,
A,13,lottia_paradigitalis,6,
A,2,lottia_paradigitalis,7,
A,12,lottia_paradigitalis,2,
C,12,lottia_paradigitalis,1,
C,14,lottia_paradigitalis,12,
F,12,lottia_paradigitalis,4,
C,9,lottia_paradigitalis,14,
D,5,lottia_paradigitalis,14,
E,10,lottia_paradigitalis,11,
B,4,lottia_paradigitalis,1,
C,4,lottia_paradigitalis,2,
E,4,lottia_paradigitalis,8,
C,10,lottia_paradigitalis,3,
F,11,lottia_paradigitalis,3,
D,1,lottia_paradigitalis,46,
D,2,lottia_paradigitalis,56,
D,12,lottia_pelta,2,
E,13,lottia_pelta,2,
E,12,lottia_pelta,1,
E,11,lottia_pelta,6,
D,9,lottia_pelta,4,
D,8,lottia_pelta,8,
E,9,lottia_pelta,4,
A,13,lottia_pelta,1,
A,2,lottia_pelta,2,
A,10,lottia_pelta,1,
C,14,lottia_pelta,1,
E,10,lottia_pelta,1,
C,4,lottia_pelta,1,
D,2,lottia_pelta,1,
B,1,lottia_recruit,2,lottia paradigitalis recruits? Picture May 18
D,12,lottia_recruit,11,
E,11,lottia_scutum,1,
D,12,mytilus,8,
A,1,mytilus,1,
D,9,mytilus,1,
E,9,mytilus,34,
A,2,mytilus,4,
F,12,mytilus,1,
C,9,mytilus,4,
E,10,mytilus,3,
F,11,mytilus,3,
D,1,mytilus,11,
D,2,mytilus,38,
D,9,neostylidium_eschrichtii,1,
D,2,oedoparena,1,
D,2,oedoparena_larva,1,
D,1,polychaeta_2,1,"grub body, bundles of setae, short"
D,12,syllidae,4,polychaete
E,9,syllidae,6,
A,2,syllidae,1,
C,9,syllidae,3,
E,10,syllidae,1,
F,11,syllidae,1,
D,1,syllidae,4,
D,2,syllidae,16,
D,12,amphipoda_larva,17,
E,15,amphipoda_larva,1,
C,11,amphipoda_larva,3,
E,13,amphipoda_larva,3,
B,12,amphipoda_larva,1,
A,1,amphipoda_larva,1,
E,12,amphipoda_larva,1,
F,6,amphipoda_larva,9,
E,11,amphipoda_larva,2,
D,9,amphipoda_larva,2,
D,8,amphipoda_larva,2,
F,5,amphipoda_larva,5,
E,9,amphipoda_larva,12,
A,2,amphipoda_larva,1,
B,5,amphipoda_larva,1,
B,9,amphipoda_larva,2,"weird cuticle on head, grub body, no relal appendages. Full worm not present. Lived in mucus tube. Picture May 21"
B,7,amphipoda_larva,4,
E,6,amphipoda_larva,3,
C,14,amphipoda_larva,2,
F,12,amphipoda_larva,16,
C,9,amphipoda_larva,9,
D,5,amphipoda_larva,3,
F,3,amphipoda_larva,9,
E,10,amphipoda_larva,7,
B,6,amphipoda_larva,12,
F,1,amphipoda_larva,1,
B,4,amphipoda_larva,1,
C,4,amphipoda_larva,4,
B,14,amphipoda_larva,1,
E,4,amphipoda_larva,6,
C,10,amphipoda_larva,7,
F,11,amphipoda_larva,19,
D,1,amphipoda_larva,27,
D,2,amphipoda_larva,43,